"model_name","color","image_front_filename","image_back_filename","image_side_filename","image_front_url","image_back_url","image_side_url","status","notes"
"iPhone 17e","Black","iphone-17e-black-front.webp","iphone-17e-black-back.webp","iphone-17e-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17e","White","iphone-17e-white-front.webp","iphone-17e-white-back.webp","iphone-17e-white-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17e","Soft Pink","iphone-17e-soft-pink-front.webp","iphone-17e-soft-pink-back.webp","iphone-17e-soft-pink-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro Max","Silver","iphone-17-pro-max-silver-front.webp","iphone-17-pro-max-silver-back.webp","iphone-17-pro-max-silver-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro Max","Cosmic Orange","iphone-17-pro-max-cosmic-orange-front.webp","iphone-17-pro-max-cosmic-orange-back.webp","iphone-17-pro-max-cosmic-orange-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro Max","Deep Blue","iphone-17-pro-max-deep-blue-front.webp","iphone-17-pro-max-deep-blue-back.webp","iphone-17-pro-max-deep-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro","Silver","iphone-17-pro-silver-front.webp","iphone-17-pro-silver-back.webp","iphone-17-pro-silver-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro","Cosmic Orange","iphone-17-pro-cosmic-orange-front.webp","iphone-17-pro-cosmic-orange-back.webp","iphone-17-pro-cosmic-orange-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17 Pro","Deep Blue","iphone-17-pro-deep-blue-front.webp","iphone-17-pro-deep-blue-back.webp","iphone-17-pro-deep-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone Air","Space Black","iphone-air-space-black-front.webp","iphone-air-space-black-back.webp","iphone-air-space-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone Air","Cloud White","iphone-air-cloud-white-front.webp","iphone-air-cloud-white-back.webp","iphone-air-cloud-white-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone Air","Light Gold","iphone-air-light-gold-front.webp","iphone-air-light-gold-back.webp","iphone-air-light-gold-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone Air","Sky Blue","iphone-air-sky-blue-front.webp","iphone-air-sky-blue-back.webp","iphone-air-sky-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17","Black","iphone-17-black-front.webp","iphone-17-black-back.webp","iphone-17-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17","White","iphone-17-white-front.webp","iphone-17-white-back.webp","iphone-17-white-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17","Mist Blue","iphone-17-mist-blue-front.webp","iphone-17-mist-blue-back.webp","iphone-17-mist-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17","Sage","iphone-17-sage-front.webp","iphone-17-sage-back.webp","iphone-17-sage-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 17","Lavender","iphone-17-lavender-front.webp","iphone-17-lavender-back.webp","iphone-17-lavender-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16e","Black","iphone-16e-black-front.webp","iphone-16e-black-back.webp","iphone-16e-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16e","White","iphone-16e-white-front.webp","iphone-16e-white-back.webp","iphone-16e-white-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Pro Max","Black Titanium","iphone-16-pro-max-black-titanium-front.webp","iphone-16-pro-max-black-titanium-back.webp","iphone-16-pro-max-black-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Pro Max","White Titanium","iphone-16-pro-max-white-titanium-front.webp","iphone-16-pro-max-white-titanium-back.webp","iphone-16-pro-max-white-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Pro Max","Natural Titanium","iphone-16-pro-max-natural-titanium-front.webp","iphone-16-pro-max-natural-titanium-back.webp","iphone-16-pro-max-natural-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Pro Max","Desert Titanium","iphone-16-pro-max-desert-titanium-front.webp","iphone-16-pro-max-desert-titanium-back.webp","iphone-16-pro-max-desert-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Pro","Black Titanium","iphone-16-pro-black-titanium-front.webp","iphone-16-pro-black-titanium-back.webp","iphone-16-pro-black-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Pro","White Titanium","iphone-16-pro-white-titanium-front.webp","iphone-16-pro-white-titanium-back.webp","iphone-16-pro-white-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Pro","Natural Titanium","iphone-16-pro-natural-titanium-front.webp","iphone-16-pro-natural-titanium-back.webp","iphone-16-pro-natural-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Pro","Desert Titanium","iphone-16-pro-desert-titanium-front.webp","iphone-16-pro-desert-titanium-back.webp","iphone-16-pro-desert-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Plus","Black","iphone-16-plus-black-front.webp","iphone-16-plus-black-back.webp","iphone-16-plus-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Plus","White","iphone-16-plus-white-front.webp","iphone-16-plus-white-back.webp","iphone-16-plus-white-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Plus","Pink","iphone-16-plus-pink-front.webp","iphone-16-plus-pink-back.webp","iphone-16-plus-pink-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Plus","Teal","iphone-16-plus-teal-front.webp","iphone-16-plus-teal-back.webp","iphone-16-plus-teal-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16 Plus","Ultramarine","iphone-16-plus-ultramarine-front.webp","iphone-16-plus-ultramarine-back.webp","iphone-16-plus-ultramarine-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16","Black","iphone-16-black-front.webp","iphone-16-black-back.webp","iphone-16-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16","White","iphone-16-white-front.webp","iphone-16-white-back.webp","iphone-16-white-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16","Pink","iphone-16-pink-front.webp","iphone-16-pink-back.webp","iphone-16-pink-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16","Teal","iphone-16-teal-front.webp","iphone-16-teal-back.webp","iphone-16-teal-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 16","Ultramarine","iphone-16-ultramarine-front.webp","iphone-16-ultramarine-back.webp","iphone-16-ultramarine-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Pro Max","Black Titanium","iphone-15-pro-max-black-titanium-front.webp","iphone-15-pro-max-black-titanium-back.webp","iphone-15-pro-max-black-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Pro Max","White Titanium","iphone-15-pro-max-white-titanium-front.webp","iphone-15-pro-max-white-titanium-back.webp","iphone-15-pro-max-white-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Pro Max","Blue Titanium","iphone-15-pro-max-blue-titanium-front.webp","iphone-15-pro-max-blue-titanium-back.webp","iphone-15-pro-max-blue-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Pro Max","Natural Titanium","iphone-15-pro-max-natural-titanium-front.webp","iphone-15-pro-max-natural-titanium-back.webp","iphone-15-pro-max-natural-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Pro","Black Titanium","iphone-15-pro-black-titanium-front.webp","iphone-15-pro-black-titanium-back.webp","iphone-15-pro-black-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Pro","White Titanium","iphone-15-pro-white-titanium-front.webp","iphone-15-pro-white-titanium-back.webp","iphone-15-pro-white-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Pro","Blue Titanium","iphone-15-pro-blue-titanium-front.webp","iphone-15-pro-blue-titanium-back.webp","iphone-15-pro-blue-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Pro","Natural Titanium","iphone-15-pro-natural-titanium-front.webp","iphone-15-pro-natural-titanium-back.webp","iphone-15-pro-natural-titanium-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Plus","Black","iphone-15-plus-black-front.webp","iphone-15-plus-black-back.webp","iphone-15-plus-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Plus","Blue","iphone-15-plus-blue-front.webp","iphone-15-plus-blue-back.webp","iphone-15-plus-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Plus","Green","iphone-15-plus-green-front.webp","iphone-15-plus-green-back.webp","iphone-15-plus-green-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Plus","Yellow","iphone-15-plus-yellow-front.webp","iphone-15-plus-yellow-back.webp","iphone-15-plus-yellow-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15 Plus","Pink","iphone-15-plus-pink-front.webp","iphone-15-plus-pink-back.webp","iphone-15-plus-pink-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15","Black","iphone-15-black-front.webp","iphone-15-black-back.webp","iphone-15-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15","Blue","iphone-15-blue-front.webp","iphone-15-blue-back.webp","iphone-15-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15","Green","iphone-15-green-front.webp","iphone-15-green-back.webp","iphone-15-green-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15","Yellow","iphone-15-yellow-front.webp","iphone-15-yellow-back.webp","iphone-15-yellow-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 15","Pink","iphone-15-pink-front.webp","iphone-15-pink-back.webp","iphone-15-pink-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Pro Max","Space Black","iphone-14-pro-max-space-black-front.webp","iphone-14-pro-max-space-black-back.webp","iphone-14-pro-max-space-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Pro Max","Silver","iphone-14-pro-max-silver-front.webp","iphone-14-pro-max-silver-back.webp","iphone-14-pro-max-silver-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Pro Max","Gold","iphone-14-pro-max-gold-front.webp","iphone-14-pro-max-gold-back.webp","iphone-14-pro-max-gold-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Pro Max","Deep Purple","iphone-14-pro-max-deep-purple-front.webp","iphone-14-pro-max-deep-purple-back.webp","iphone-14-pro-max-deep-purple-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Pro","Space Black","iphone-14-pro-space-black-front.webp","iphone-14-pro-space-black-back.webp","iphone-14-pro-space-black-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Pro","Silver","iphone-14-pro-silver-front.webp","iphone-14-pro-silver-back.webp","iphone-14-pro-silver-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Pro","Gold","iphone-14-pro-gold-front.webp","iphone-14-pro-gold-back.webp","iphone-14-pro-gold-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Pro","Deep Purple","iphone-14-pro-deep-purple-front.webp","iphone-14-pro-deep-purple-back.webp","iphone-14-pro-deep-purple-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Plus","Midnight","iphone-14-plus-midnight-front.webp","iphone-14-plus-midnight-back.webp","iphone-14-plus-midnight-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Plus","Starlight","iphone-14-plus-starlight-front.webp","iphone-14-plus-starlight-back.webp","iphone-14-plus-starlight-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Plus","Blue","iphone-14-plus-blue-front.webp","iphone-14-plus-blue-back.webp","iphone-14-plus-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Plus","Purple","iphone-14-plus-purple-front.webp","iphone-14-plus-purple-back.webp","iphone-14-plus-purple-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Plus","Yellow","iphone-14-plus-yellow-front.webp","iphone-14-plus-yellow-back.webp","iphone-14-plus-yellow-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14 Plus","(PRODUCT)RED","iphone-14-plus-productred-front.webp","iphone-14-plus-productred-back.webp","iphone-14-plus-productred-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14","Midnight","iphone-14-midnight-front.webp","iphone-14-midnight-back.webp","iphone-14-midnight-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14","Starlight","iphone-14-starlight-front.webp","iphone-14-starlight-back.webp","iphone-14-starlight-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14","Blue","iphone-14-blue-front.webp","iphone-14-blue-back.webp","iphone-14-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14","Purple","iphone-14-purple-front.webp","iphone-14-purple-back.webp","iphone-14-purple-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14","Yellow","iphone-14-yellow-front.webp","iphone-14-yellow-back.webp","iphone-14-yellow-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 14","(PRODUCT)RED","iphone-14-productred-front.webp","iphone-14-productred-back.webp","iphone-14-productred-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone SE (3rd generation)","Midnight","iphone-se-3rd-generation-midnight-front.webp","iphone-se-3rd-generation-midnight-back.webp","iphone-se-3rd-generation-midnight-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone SE (3rd generation)","Starlight","iphone-se-3rd-generation-starlight-front.webp","iphone-se-3rd-generation-starlight-back.webp","iphone-se-3rd-generation-starlight-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone SE (3rd generation)","(PRODUCT)RED","iphone-se-3rd-generation-productred-front.webp","iphone-se-3rd-generation-productred-back.webp","iphone-se-3rd-generation-productred-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 Pro Max","Graphite","iphone-13-pro-max-graphite-front.webp","iphone-13-pro-max-graphite-back.webp","iphone-13-pro-max-graphite-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 Pro Max","Gold","iphone-13-pro-max-gold-front.webp","iphone-13-pro-max-gold-back.webp","iphone-13-pro-max-gold-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 Pro Max","Silver","iphone-13-pro-max-silver-front.webp","iphone-13-pro-max-silver-back.webp","iphone-13-pro-max-silver-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 Pro Max","Sierra Blue","iphone-13-pro-max-sierra-blue-front.webp","iphone-13-pro-max-sierra-blue-back.webp","iphone-13-pro-max-sierra-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 Pro Max","Alpine Green","iphone-13-pro-max-alpine-green-front.webp","iphone-13-pro-max-alpine-green-back.webp","iphone-13-pro-max-alpine-green-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 Pro","Graphite","iphone-13-pro-graphite-front.webp","iphone-13-pro-graphite-back.webp","iphone-13-pro-graphite-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 Pro","Gold","iphone-13-pro-gold-front.webp","iphone-13-pro-gold-back.webp","iphone-13-pro-gold-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 Pro","Silver","iphone-13-pro-silver-front.webp","iphone-13-pro-silver-back.webp","iphone-13-pro-silver-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 Pro","Sierra Blue","iphone-13-pro-sierra-blue-front.webp","iphone-13-pro-sierra-blue-back.webp","iphone-13-pro-sierra-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 Pro","Alpine Green","iphone-13-pro-alpine-green-front.webp","iphone-13-pro-alpine-green-back.webp","iphone-13-pro-alpine-green-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13","Pink","iphone-13-pink-front.webp","iphone-13-pink-back.webp","iphone-13-pink-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13","Blue","iphone-13-blue-front.webp","iphone-13-blue-back.webp","iphone-13-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13","Midnight","iphone-13-midnight-front.webp","iphone-13-midnight-back.webp","iphone-13-midnight-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13","Starlight","iphone-13-starlight-front.webp","iphone-13-starlight-back.webp","iphone-13-starlight-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13","Green","iphone-13-green-front.webp","iphone-13-green-back.webp","iphone-13-green-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13","(PRODUCT)RED","iphone-13-productred-front.webp","iphone-13-productred-back.webp","iphone-13-productred-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 mini","Pink","iphone-13-mini-pink-front.webp","iphone-13-mini-pink-back.webp","iphone-13-mini-pink-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 mini","Blue","iphone-13-mini-blue-front.webp","iphone-13-mini-blue-back.webp","iphone-13-mini-blue-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 mini","Midnight","iphone-13-mini-midnight-front.webp","iphone-13-mini-midnight-back.webp","iphone-13-mini-midnight-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 mini","Starlight","iphone-13-mini-starlight-front.webp","iphone-13-mini-starlight-back.webp","iphone-13-mini-starlight-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 mini","Green","iphone-13-mini-green-front.webp","iphone-13-mini-green-back.webp","iphone-13-mini-green-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
"iPhone 13 mini","(PRODUCT)RED","iphone-13-mini-productred-front.webp","iphone-13-mini-productred-back.webp","iphone-13-mini-productred-side.webp","","","","pending","Preferred WebP, square 1000x1000 or 1200x1200, centered product, transparent or very light background."
